"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/53","US-WA","Washington","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",284365,"Population Working in the Accommodation and Food Services Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",182559,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",218994,"Population Working in the Construction Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",283380,"Population Working in the Educational Services Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",511414,"Population Working in the Health Care and Social Assistance Industry"
"geoId/53","US-WA","Washington","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",285419,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/53","US-WA","Washington","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",96574,"Population Working in the Finance and Insurance Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",171855,"Population Working in the Information Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",77436,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",2100,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",103731,"Population Working in Other Services, Except Public Administration"
"geoId/53","US-WA","Washington","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",166647,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/53","US-WA","Washington","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",20453,"Utilities Workers"
"geoId/53","US-WA","Washington","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",334055,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/53","US-WA","Washington","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",60738,"Real Estate and Rental and Leasing Workers"
"geoId/53","US-WA","Washington","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",181545,"Public Administration Workers"
"geoId/53","US-WA","Washington","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",137356,"Wholesale Trade Workers"
"geoId/53","US-WA","Washington","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",260222,"Professional, Scientific, and Technical Services Workers"
"geoId/53","US-WA","Washington","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",101940,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/53","US-WA","Washington","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",4,"Unclassified Workers"
